ANumber,Stream,GWstatus,Site,Year,Month,Day,Date,Formatted date,Tot.Collemb,Tot.Coleopt.Adult,Tot.Coleopt.Larva,Tot.Opilion,Tot. Spider,Pseudoscorpion,Tot.Ant,Tot. Vespidae,Tot.Dipt.Adult,Tot.Dipt.Larva,Tot.Acarinae,Tot.Millip,Tot.Centip,Tot.Hemipt,Tot.Lepidopt.larva,Cercopidae,Trichopt.adult,Plecopt.adult,Tot.Snails,Tot. Slug,Tot.Isopod,Flea.1,Oligochaete,Frog,Salamander,Abund,Tot.taxa,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1,U9,L1,U2,U3,U4,U6,U7,big worm,FL 1,NewAbund,NewTotTaxa
1,Mike,Dis,Mike Dis 2,2017,June,14,14-Jun-17,14-Jun-17,23,1,0,0,0,,0,1,7,0,1,0,0,0,0,,,,1,0,0,,,,,34,10,,,,Stream,GW_status,Site,Year,Month,Day,Date,Formatted date,TOTAL COLLEMBOLA,TOTAL ISOPODA,TOT.COLEOPT.Adult,TOTAL OPILIONES,TOTAL SPIDER,TOTAL FORMICIDAE,TOTAL BRACONIDAE,Tot.DiptAdult,TOTAL MITE,TOTAL MILLEPIDES,TOTAL CENTIPIDAE,TOTAL CERCOPIDAE,TOTAL BEETLE LARVA,TOTAL TETTIGONIIDAE,Tot.snail,Tot.slugs,TOTAL SIPHONOPTERA,TOTAL PSEUDOSCORPION,,,lost,,,,fly larva,,,
2,Mike,NonDis,Mike NonDis 3,2017,June,14,14-Jun-17,14-Jun-17,61,35,0,0,0,,0,2,13,0,22,2,0,0,0,,,,1,0,19,,,,,155,21,,,Z58,G,Dis,G Dis 1,2017,May,17,17-May-17,17-May-17,173,,2,,,,,1,6,1,,,,,,,,,,,,,,,,,183,10
3,G,Dis,G Dis 4,2017,June,16,16-Jun-17,16-Jun-17,142,5,0,1,1,,0,0,22,0,11,1,0,0,0,,,,2,0,0,,,,1,186,16,,,Z59,G,Dis,G Dis 2,2017,May,17,17-May-17,17-May-17,58,,2,,,,,1,4,,,,,,,,,,,,,,,,,1,66,12
4,Mike,Dis,Mike Dis 1,2017,June,14,14-Jun-17,14-Jun-17,37,19,1,0,0,1,0,0,11,1,11,5,0,0,0,,,,2,0,4,,,,,92,20,,,Z60,G,Dis,G Dis 3,2017,May,17,17-May-17,17-May-17,7,5,1,,3,,,3,6,,,,,,,,,,,,,,,,,,88,17
5,G,NonDis,G NonDis 3,2017,June,14,14-Jun-17,14-Jun-17,93,59,0,0,1,,0,0,32,1,16,1,0,0,0,,,,3,0,0,,,,,206,16,,,Z61,G,Dis,G Dis 4,2017,May,17,17-May-17,17-May-17,21,,1,,,,,1,19,,,,,,1,,,,,,,,,,,,43,10
6,G,Dis,G Dis 3,2017,June,14,14-Jun-17,14-Jun-17,8,17,0,0,1,,0,0,4,1,1,0,0,0,0,,,,0,0,0,,,,,32,9,,,Z62,G,NonDis,G NonDis 1,2017,May,17,17-May-17,17-May-17,59,,8,1,2,,3,4,21,1,,,,,,,,,,,,,,,,,99,17
7,G,Dis,G Dis 2,2017,June,14,14-Jun-17,14-Jun-17,80,55,1,0,1,,1,0,11,1,12,0,0,0,0,,,,0,3,0,1,,,1,167,27,,,Z63,G,NonDis,G NonDis 2,2017,May,17,17-May-17,17-May-17,183,1,4,1,2,,,7,7,,,1,,,1,,,,,,,,,,,,207,20
8,Mike,NonDis,Mike NonDis 6,2017,June,14,14-Jun-17,14-Jun-17,93,23,0,0,1,,0,0,26,0,8,1,0,0,1,,,,1,0,0,,,,,154,22,,,Z64,G,NonDis,G NonDis 3,2017,May,17,17-May-17,17-May-17,86,,3,1,5,1,,1,17,,,,1,,,,,1,,,,,,,,,116,19
9,Mike,NonDis,Mike NonDis 2,2017,June,14,14-Jun-17,14-Jun-17,213,34,0,0,1,,0,0,69,0,14,1,0,0,0,,,,0,1,5,,,,,338,16,,,Z65,G,NonDis,G NonDis 4,2017,May,17,17-May-17,17-May-17,,1,0,,,,,0,,,,,,,,,,,,,,,,,,,147,18
10,G,NonDis,G NonDis 4,2017,June,14,14-Jun-17,14-Jun-17,16,38,0,0,0,,0,0,219,0,9,0,1,1,0,,,,0,0,0,,,,,284,22,,,Z66,Griff,Dis,Griff Dis 1,2017,May,17,17-May-17,17-May-17,2,4,9,,5,,,13,1,,,,,,,,,,,,,,,,,,52,12
11,G,NonDis,G NonDis 2,2017,June,14,14-Jun-17,14-Jun-17,162,15,0,0,1,1,0,0,30,0,15,0,0,0,0,,,,0,1,0,,,,,225,20,,,Z67,Griff,Dis,Griff Dis 2,2017,May,17,17-May-17,17-May-17,29,17,15,,2,,,4,4,,,,,,,,,,,,,,,1,,,72,19
12,G,Dis,G Dis 3,2017,June,14,14-Jun-17,14-Jun-17,41,25,1,0,1,,0,0,10,2,6,0,0,0,0,,,,0,1,1,1,,1,,90,19,,,Z68,Griff,Dis,Griff Dis 3,2017,May,17,17-May-17,17-May-17,96,22,9,2,13,1,,5,1,2,1,,,,,,,,,,1,,,,,,162,32
13,G,Dis,G Dis 4,2017,June,14,14-Jun-17,14-Jun-17,20,12,0,0,0,,0,0,2,0,2,0,0,0,0,,,,2,0,0,,,,,38,12,,,Z69,Griff,Dis,Griff Dis 4,2017,May,17,17-May-17,17-May-17,54,3,3,1,,,,2,6,,,,1,,,,,,,,,,1,,,,71,12
14,Griff,Dis,Griff Dis 2,2017,June,14,14-Jun-17,14-Jun-17,18,32,0,0,1,1,0,0,2,1,6,1,0,0,0,,,,1,1,4,,,,,68,20,,,Z70,Griff,NonDis,Griff NonDis 1,2017,May,17,17-May-17,17-May-17,7,13,1,3,,,,1,17,,,,,,,,,,,,,,,,,,42,13
15,Griff,NonDis,Griff NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,3,1,0,0,1,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,5,5,,,Z71,Griff,NonDis,Griff NonDis 2,2017,May,17,17-May-17,17-May-17,33,5,3,1,3,,,9,3,,,,,,,,,,,,,1,,,,,58,18
16,G,NonDis,G NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,31,50,0,1,4,2,2,1,30,0,29,0,0,1,0,,,,0,0,0,,,1,,152,29,,,Z72,Griff,NonDis,Griff NonDis 3,2017,May,17,17-May-17,17-May-17,54,12,11,1,1,,1,8,13,1,,,,,,,,,,,,,,,1,,103,27
17,Mike,Dis,Mike Dis 3,2017,June,14,14-Jun-17,14-Jun-17,31,9,1,0,0,,0,0,4,1,10,0,0,0,0,,,,1,0,1,,,,,58,16,,,Z73,Griff,NonDis,Griff NonDis 4,2017,May,17,17-May-17,17-May-17,98,4,10,2,3,1,,6,14,,,1,,,,,,,2,,,,,,,,141,32
18,Griff,Dis,Griff Dis 1,2017,June,14,14-Jun-17,14-Jun-17,22,15,0,0,1,,0,0,9,0,1,0,0,0,0,,1,,1,0,3,,,,,53,17,,,Z74,Mike,Dis,Mike Dis 1,2017,May,17,17-May-17,17-May-17,13,,2,,1,,,3,9,1,,,,,1,,,,,,,,,,,,30,15
19,Griff,NonDis,Griff NonDis 4,2017,June,14,14-Jun-17,14-Jun-17,66,40,0,0,2,,2,1,9,2,29,2,0,0,0,,,,2,0,1,1,,,,157,24,,,Z75,Mike,Dis,Mike Dis 2,2017,May,17,17-May-17,17-May-17,,,0,,,,,0,,,,,,1,,,,,,,,,,,,,44,10
20,Mike,NonDis,Mike NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,4,5,0,0,1,,0,0,1,1,4,0,0,0,0,,,,0,0,0,,,,,16,10,,,Z76,Mike,Dis,Mike Dis 3,2017,May,17,17-May-17,17-May-17,92,,4,,1,,,9,11,,,,1,,,,,,,,,,,,,,118,23
21,G,Dis,G Dis 1,2017,June,14,14-Jun-17,14-Jun-17,40,39,0,0,0,,0,0,14,1,9,0,0,0,0,,,,0,0,0,,1,,,104,19,,,Z77,Mike,Dis,Mike Dis 4,2017,May,17,17-May-17,17-May-17,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0
22,Griff,NonDis,Griff NonDis 3,2017,June,14,14-Jun-17,14-Jun-17,42,54,2,0,0,,1,0,24,0,37,3,0,0,0,,,,0,0,1,,,,1,168,27,,,Z78,Mike,NonDis,Mike NonDis 1,2017,May,17,17-May-17,17-May-17,117,1,1,2,3,,,7,12,,,,2,,,,2,,,,,,,,,,147,22
23,Mike,NonDis,Mike NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,99,36,1,0,1,1,0,0,58,0,13,2,0,0,0,,,,2,0,3,,,,,217,26,,,Z79,Mike,NonDis,Mike NonDis 2,2017,May,17,17-May-17,17-May-17,75,2,2,,3,,,8,6,1,,1,,,,,,,,,,,,,,,98,17
24,Griff,Dis,Griff Dis 4,2017,June,14,14-Jun-17,14-Jun-17,47,11,1,0,2,,0,0,5,1,10,0,0,0,0,,,,3,0,22,,1,,,105,21,,,Z80,Mike,NonDis,Mike NonDis 3,2017,May,17,17-May-17,17-May-17,75,2,3,3,2,,1,5,6,,,,,,,,,,,,,,,,,,106,23
25,Griff,NonDis,Griff NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,25,5,0,0,0,1,0,0,3,1,10,0,0,0,0,,,,0,0,1,,,,,46,14,,,Z81,Mike,NonDis,Mike NonDis 4,2017,May,17,17-May-17,17-May-17,67,,1,1,1,,1,5,7,,,,,,,1,,,,1,,,,,,,85,18
26,Griff,Dis,Griff Dis 4,2017,June,14,14-Jun-17,14-Jun-17,73,8,1,0,5,,0,0,3,0,4,0,0,0,0,,,,0,0,3,,,,,97,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Mike,Dis,Mike Dis 4,2017,June,14,14-Jun-17,14-Jun-17,184,20,0,0,0,,0,0,7,0,8,0,0,0,0,,1,,0,1,1,,,,,222,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Griff,Dis,Griff Dis 3,2017,June,14,14-Jun-17,14-Jun-17,76,69,0,0,0,1,4,1,9,2,33,1,0,0,0,,,,0,0,8,,1,,,205,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Griff,NonDis,Griff NonDis 2,2017,June,14,14-Jun-17,14-Jun-17,97,26,0,1,2,,0,1,23,1,19,0,0,0,0,,,1,1,0,5,,,,,177,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Griff,NonDis,Griff NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,1,0,0,0,1,,0,0,2,0,4,0,0,0,0,,,,0,0,1,,1,,,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Griff,Dis,Griff Dis 2,2017,June,14,14-Jun-17,14-Jun-17,8,5,0,0,2,,0,0,9,0,0,0,0,0,0,,,,1,0,0,,,,,25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Griff,Dis,Griff Dis 1,2017,June,14,14-Jun-17,14-Jun-17,1,2,0,0,0,,0,0,1,0,2,0,0,0,0,,,,0,0,0,,,,,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Mike,Dis,Mike Dis 3,2017,June,14,14-Jun-17,14-Jun-17,37,0,0,0,2,,1,0,8,1,10,0,0,0,0,,,,0,0,0,,,,,59,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,G,NonDis,G NonDis 2,2017,July,12,12-Jul-17,12-Jul-17,11,586,1,0,0,,0,7,152,0,118,0,1,0,0,,,,1,0,1,,,,,878,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Griff,NonDis,Griff NonDis 3,2017,July,12,12-Jul-17,12-Jul-17,13,110,13,0,0,,1,2,18,7,11,1,0,0,1,,,,0,0,0,,,,,177,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Mike,NonDis,Mike NonDis 3,2017,July,13,13-Jul-17,13-Jul-17,23,159,6,0,2,,1,1,42,7,7,2,0,0,0,,,,0,1,0,,,,,251,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Mike,Dis,Mike Dis 4,2017,July,13,13-Jul-17,13-Jul-17,0,84,0,0,3,,0,2,29,0,5,0,0,0,0,,,,0,0,0,,,,,123,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Griff,NonDis,Griff NonDis 2,2017,July,12,12-Jul-17,12-Jul-17,19,107,1,0,4,,1,1,62,0,15,18,0,0,0,,,,2,0,13,,,1,,244,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,G,Dis,G Dis 4,2017,July,13,13-Jul-17,13-Jul-17,4,93,1,0,2,,0,7,85,0,19,1,0,0,0,,,,2,0,0,,,,,214,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Mike,Dis,Mike Dis 3,2017,July,13,13-Jul-17,13-Jul-17,11,96,0,1,2,,0,4,234,1,311,0,1,0,0,,,,0,2,2,,,,,665,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Mike,NonDis,Mike NonDis 2,2017,July,13,13-Jul-17,13-Jul-17,43,246,2,0,0,,0,0,28,0,1,0,0,0,0,,,,1,0,1,,,,,322,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Griff,Dis,Griff Dis 1,2017,July,12,12-Jul-17,12-Jul-17,12,257,1,0,6,,0,0,50,0,1,0,0,0,0,,,,0,0,8,,,,,335,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,G,NonDis,G NonDis 4,2017,July,13,13-Jul-17,13-Jul-17,3,161,0,0,2,1,0,8,17,0,2,0,1,0,0,,,,0,0,0,,,,1,196,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Mike,NonDis,Mike NonDis 4,2017,July,13,13-Jul-17,13-Jul-17,16,204,0,0,4,,0,2,41,3,5,3,0,0,0,,,,1,0,0,1,,,,280,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,G,Dis,G Dis 3,2017,July,13,13-Jul-17,13-Jul-17,8,137,1,0,3,1,0,1,50,4,15,2,0,0,0,,,,2,1,4,,,,,229,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,G,NonDis,G NonDis 3,2017,July,13,13-Jul-17,13-Jul-17,1,161,2,0,7,,1,2,35,0,10,1,1,1,0,2,,,0,0,3,,,,,229,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Griff,NonDis,Griff NonDis 4,2017,July,16,16-Jul-17,16-Jul-17,9,182,0,0,6,,1,0,18,0,47,1,0,0,0,,,,0,0,0,,,,,265,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Griff,Dis,Griff Dis 3,2017,July,12,12-Jul-17,12-Jul-17,18,240,0,0,4,,0,1,32,1,9,1,1,0,0,,,,1,0,3,,,,,311,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Mike,NonDis,Mike NonDis 1,2017,July,13,13-Jul-17,13-Jul-17,8,45,1,0,3,,0,3,44,0,8,1,1,0,0,,,,2,0,2,,,,,118,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Griff,NonDis,Griff NonDis 1,2017,July,12,12-Jul-17,12-Jul-17,19,39,0,0,10,,12,1,21,0,13,0,0,0,0,,,,0,0,19,,,,,134,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Griff,Dis,Griff Dis 4,2017,July,12,12-Jul-17,12-Jul-17,16,165,0,0,2,1,0,0,51,8,12,0,0,0,0,,,1,1,0,15,,,,,275,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Mike,Dis,Mike Dis 1,2017,July,13,13-Jul-17,13-Jul-17,12,153,0,0,4,1,2,1,21,0,5,4,2,0,0,,,,0,0,1,,,,,206,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,G,NonDis,G NonDis 1,2017,July,12,12-Jul-17,12-Jul-17,2,142,0,0,0,,1,1,13,0,30,0,0,0,0,1,,,0,0,0,,,,,190,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,G,Dis,G Dis 1,2017,July,12,12-Jul-17,12-Jul-17,17,261,1,0,1,,0,2,111,0,54,1,0,0,0,1,,,1,4,0,,,,,454,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Mike,Dis,Mike Dis 2,2017,July,13,13-Jul-17,13-Jul-17,1,75,0,0,10,,0,0,28,0,4,0,0,0,0,1,,,0,0,0,,,,,119,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,G,Dis,G Dis 2,2017,July,12,12-Jul-17,12-Jul-17,8,52,0,0,6,,0,1,19,0,8,0,1,0,0,,,,0,0,1,,,,,96,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Griff,Dis,Griff Dis 2,2017,July,12,12-Jul-17,12-Jul-17,12,63,0,0,2,,0,0,25,0,5,1,1,0,0,,,,0,0,4,,,,,114,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
