ANumber,Stream,GWstatus,Site,Year,Month,Day,Date,Format.date,Collemb,Coleopt.Adult,Coleopt.Larva,Opilion,Spider,Pseudoscorp,Formicid,Vespidae,Dipt.Adult,Dipt.Larva,Acari,Millip,Centip,Hemipt,Lepidop.larva,Trichopt.adult,Plecopt.adult,Shelled.snails, Slug,Isopod,Siphonopt,Oligoch,Anura,Caudata,Abund,Tot.Taxa,ArtFlyAbund,ArtFlyProp,ArtTerrAbund,ArtTerrProp,ArtTerrTaxa
A1,Mike,Dis,Mike Dis 2,2017,June,14,14-Jun-17,14-Jun-17,23,1,0,0,0,,0,1,7,0,1,0,0,0,0,,,1,0,0,,,,,34,10,8,0.235294118,26,0.764705882,15
A2,Mike,NonDis,Mike NonDis 3,2017,June,14,14-Jun-17,14-Jun-17,61,35,0,0,0,,0,2,13,0,22,2,0,0,0,,,1,0,19,,,,,155,21,15,0.096774194,140,0.903225806,15
A3,G,Dis,G Dis 4,2017,June,16,16-Jun-17,16-Jun-17,142,5,0,1,1,,0,0,22,0,11,1,0,0,0,,,2,0,0,,,,1,186,16,22,0.11827957,163,0.876344086,15
A4,Mike,Dis,Mike Dis 1,2017,June,14,14-Jun-17,14-Jun-17,37,19,1,0,0,1,0,0,11,1,11,5,0,0,0,,,2,0,4,,,,,92,20,11,0.119565217,81,0.880434783,16
A5,G,NonDis,G NonDis 3,2017,June,14,14-Jun-17,14-Jun-17,93,59,0,0,1,,0,0,32,1,16,1,0,0,0,,,3,0,0,,,,,206,16,32,0.155339806,174,0.844660194,15
A6,G,Dis,G Dis 3,2017,June,14,14-Jun-17,14-Jun-17,8,17,0,0,1,,0,0,4,1,1,0,0,0,0,,,0,0,0,,,,,32,9,4,0.125,28,0.875,15
A7,G,Dis,G Dis 2,2017,June,14,14-Jun-17,14-Jun-17,80,55,1,0,1,,1,0,11,1,12,0,0,0,0,,,0,3,0,1,,,1,167,27,11,0.065868263,155,0.928143713,16
A8,Mike,NonDis,Mike NonDis 6,2017,June,14,14-Jun-17,14-Jun-17,93,23,0,0,1,,0,0,26,0,8,1,0,0,1,,,1,0,0,,,,,154,22,27,0.175324675,128,0.831168831,15
A9,Mike,NonDis,Mike NonDis 2,2017,June,14,14-Jun-17,14-Jun-17,213,34,0,0,1,,0,0,69,0,14,1,0,0,0,,,0,1,5,,,,,338,16,69,0.204142012,269,0.795857988,15
A10,G,NonDis,G NonDis 4,2017,June,14,14-Jun-17,14-Jun-17,16,38,0,0,0,,0,0,219,0,9,0,1,1,0,,,0,0,0,,,,,284,22,219,0.771126761,65,0.228873239,15
A11,G,NonDis,G NonDis 2,2017,June,14,14-Jun-17,14-Jun-17,162,15,0,0,1,1,0,0,30,0,15,0,0,0,0,,,0,1,0,,,,,225,20,30,0.133333333,195,0.866666667,16
A12,G,Dis,G Dis 3,2017,June,14,14-Jun-17,14-Jun-17,41,25,1,0,1,,0,0,10,2,6,0,0,0,0,,,0,1,1,1,,1,,90,19,10,0.111111111,79,0.877777778,16
A13,G,Dis,G Dis 4,2017,June,14,14-Jun-17,14-Jun-17,20,12,0,0,0,,0,0,2,0,2,0,0,0,0,,,2,0,0,,,,,38,12,2,0.052631579,36,0.947368421,15
A14,Griff,Dis,Griff Dis 2,2017,June,14,14-Jun-17,14-Jun-17,18,32,0,0,1,1,0,0,2,1,6,1,0,0,0,,,1,1,4,,,,,68,20,2,0.029411765,66,0.970588235,16
A15,Griff,NonDis,Griff NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,3,1,0,0,1,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,5,5,0,0,5,1,15
A16,G,NonDis,G NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,31,50,0,1,4,2,2,1,30,0,29,0,0,1,0,,,0,0,0,,,1,,152,29,31,0.203947368,120,0.789473684,16
A17,Mike,Dis,Mike Dis 3,2017,June,14,14-Jun-17,14-Jun-17,31,9,1,0,0,,0,0,4,1,10,0,0,0,0,,,1,0,1,,,,,58,16,4,0.068965517,54,0.931034483,15
A18,Griff,Dis,Griff Dis 1,2017,June,14,14-Jun-17,14-Jun-17,22,15,0,0,1,,0,0,9,0,1,0,0,0,0,1,,1,0,3,,,,,53,17,10,0.188679245,43,0.811320755,15
A19,Griff,NonDis,Griff NonDis 4,2017,June,14,14-Jun-17,14-Jun-17,66,40,0,0,2,,2,1,9,2,29,2,0,0,0,,,2,0,1,1,,,,157,24,10,0.063694268,147,0.936305732,16
A20,Mike,NonDis,Mike NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,4,5,0,0,1,,0,0,1,1,4,0,0,0,0,,,0,0,0,,,,,16,10,1,0.0625,15,0.9375,15
A21,G,Dis,G Dis 1,2017,June,14,14-Jun-17,14-Jun-17,40,39,0,0,0,,0,0,14,1,9,0,0,0,0,,,0,0,0,,1,,,104,19,14,0.134615385,90,0.865384615,16
A22,Griff,NonDis,Griff NonDis 3,2017,June,14,14-Jun-17,14-Jun-17,42,54,2,0,0,,1,0,24,0,37,3,0,0,0,,,0,0,1,,,,1,168,27,24,0.142857143,140,0.833333333,15
A23,Mike,NonDis,Mike NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,99,36,1,0,1,1,0,0,58,0,13,2,0,0,0,,,2,0,3,,,,,217,26,58,0.267281106,158,0.728110599,16
A24,Griff,Dis,Griff Dis 4,2017,June,14,14-Jun-17,14-Jun-17,47,11,1,0,2,,0,0,5,1,10,0,0,0,0,,,3,0,22,,1,,,105,21,5,0.047619048,98,0.933333333,16
A25,Griff,NonDis,Griff NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,25,5,0,0,0,1,0,0,3,1,10,0,0,0,0,,,0,0,1,,,,,46,14,3,0.065217391,43,0.934782609,16
A26,Griff,Dis,Griff Dis 4,2017,June,14,14-Jun-17,14-Jun-17,73,8,1,0,5,,0,0,3,0,4,0,0,0,0,,,0,0,3,,,,,97,12,3,0.030927835,94,0.969072165,15
A27,Mike,Dis,Mike Dis 4,2017,June,14,14-Jun-17,14-Jun-17,184,20,0,0,0,,0,0,7,0,8,0,0,0,0,1,,0,1,1,,,,,222,23,8,0.036036036,214,0.963963964,15
A28,Griff,Dis,Griff Dis 3,2017,June,14,14-Jun-17,14-Jun-17,76,69,0,0,0,1,4,1,9,2,33,1,0,0,0,,,0,0,8,,1,,,205,26,10,0.048780488,195,0.951219512,17
A29,Griff,NonDis,Griff NonDis 2,2017,June,14,14-Jun-17,14-Jun-17,97,26,0,1,2,,0,1,23,1,19,0,0,0,0,,1,1,0,5,,,,,177,29,25,0.141242938,152,0.858757062,15
A30,Griff,NonDis,Griff NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,1,0,0,0,1,,0,0,2,0,4,0,0,0,0,,,0,0,1,,1,,,10,9,2,0.2,8,0.8,16
A31,Griff,Dis,Griff Dis 2,2017,June,14,14-Jun-17,14-Jun-17,8,5,0,0,2,,0,0,9,0,0,0,0,0,0,,,1,0,0,,,,,25,11,9,0.36,16,0.64,15
A32,Griff,Dis,Griff Dis 1,2017,June,14,14-Jun-17,14-Jun-17,1,2,0,0,0,,0,0,1,0,2,0,0,0,0,,,0,0,0,,,,,6,8,1,0.166666667,5,0.833333333,15
A33,Mike,Dis,Mike Dis 3,2017,June,14,14-Jun-17,14-Jun-17,37,0,0,0,2,,1,0,8,1,10,0,0,0,0,,,0,0,0,,,,,59,15,8,0.13559322,51,0.86440678,15
A34,G,NonDis,G NonDis 2,2017,July,12,12-Jul-17,12-Jul-17,11,586,1,0,0,,0,7,152,0,118,0,1,0,0,,,1,0,1,,,,,878,34,159,0.181093394,719,0.818906606,15
A35,Griff,NonDis,Griff NonDis 3,2017,July,12,12-Jul-17,12-Jul-17,13,110,13,0,0,,1,2,18,7,11,1,0,0,1,,,0,0,0,,,,,177,27,21,0.118644068,157,0.88700565,15
A36,Mike,NonDis,Mike NonDis 3,2017,July,13,13-Jul-17,13-Jul-17,23,159,6,0,2,,1,1,42,7,7,2,0,0,0,,,0,1,0,,,,,251,30,43,0.171314741,208,0.828685259,15
A37,Mike,Dis,Mike Dis 4,2017,July,13,13-Jul-17,13-Jul-17,0,84,0,0,3,,0,2,29,0,5,0,0,0,0,,,0,0,0,,,,,123,22,31,0.25203252,92,0.74796748,15
A38,Griff,NonDis,Griff NonDis 2,2017,July,12,12-Jul-17,12-Jul-17,19,107,1,0,4,,1,1,62,0,15,18,0,0,0,,,2,0,13,,,1,,244,35,63,0.258196721,180,0.737704918,15
A39,G,Dis,G Dis 4,2017,July,13,13-Jul-17,13-Jul-17,4,93,1,0,2,,0,7,85,0,19,1,0,0,0,,,2,0,0,,,,,214,31,92,0.429906542,122,0.570093458,15
A40,Mike,Dis,Mike Dis 3,2017,July,13,13-Jul-17,13-Jul-17,11,96,0,1,2,,0,4,234,1,311,0,1,0,0,,,0,2,2,,,,,665,34,238,0.357894737,427,0.642105263,15
A41,Mike,NonDis,Mike NonDis 2,2017,July,13,13-Jul-17,13-Jul-17,43,246,2,0,0,,0,0,28,0,1,0,0,0,0,,,1,0,1,,,,,322,26,28,0.086956522,294,0.913043478,15
A42,Griff,Dis,Griff Dis 1,2017,July,12,12-Jul-17,12-Jul-17,12,257,1,0,6,,0,0,50,0,1,0,0,0,0,,,0,0,8,,,,,335,26,50,0.149253731,285,0.850746269,15
A43,G,NonDis,G NonDis 4,2017,July,13,13-Jul-17,13-Jul-17,3,161,0,0,2,1,0,8,17,0,2,0,1,0,0,,,0,0,0,,,,1,196,25,25,0.12755102,170,0.867346939,16
A44,Mike,NonDis,Mike NonDis 4,2017,July,13,13-Jul-17,13-Jul-17,16,204,0,0,4,,0,2,41,3,5,3,0,0,0,,,1,0,0,1,,,,280,28,43,0.153571429,237,0.846428571,16
A45,G,Dis,G Dis 3,2017,July,13,13-Jul-17,13-Jul-17,8,137,1,0,3,1,0,1,50,4,15,2,0,0,0,,,2,1,4,,,,,229,34,51,0.222707424,178,0.777292576,16
A46,G,NonDis,G NonDis 3,2017,July,13,13-Jul-17,13-Jul-17,1,161,2,0,7,,1,2,35,0,10,1,1,3,0,,,0,0,3,,,,,229,31,37,0.161572052,190,0.829694323,15
A47,Griff,NonDis,Griff NonDis 4,2017,July,16,16-Jul-17,16-Jul-17,9,182,0,0,6,,1,0,18,0,47,1,0,0,0,,,0,0,0,,,,,265,25,18,0.067924528,246,0.928301887,15
A48,Griff,Dis,Griff Dis 3,2017,July,12,12-Jul-17,12-Jul-17,18,240,0,0,4,,0,1,32,1,9,1,1,0,0,,,1,0,3,,,,,311,36,33,0.106109325,278,0.893890675,15
A49,Mike,NonDis,Mike NonDis 1,2017,July,13,13-Jul-17,13-Jul-17,8,45,1,0,3,,0,3,44,0,8,1,1,0,0,,,2,0,2,,,,,118,31,47,0.398305085,71,0.601694915,15
A50,Griff,NonDis,Griff NonDis 1,2017,July,12,12-Jul-17,12-Jul-17,19,39,0,0,10,,12,1,21,0,13,0,0,0,0,,,0,0,19,,,,,134,20,22,0.164179104,112,0.835820896,15
A51,Griff,Dis,Griff Dis 4,2017,July,12,12-Jul-17,12-Jul-17,16,165,0,0,2,1,0,0,51,8,12,0,0,0,0,,1,1,0,15,,,,,275,32,52,0.189090909,220,0.8,16
A52,Mike,Dis,Mike Dis 1,2017,July,13,13-Jul-17,13-Jul-17,12,153,0,0,4,1,2,1,21,0,5,4,2,0,0,,,0,0,1,,,,,206,28,22,0.106796117,184,0.893203883,16
A53,G,NonDis,G NonDis 1,2017,July,12,12-Jul-17,12-Jul-17,2,142,0,0,0,,1,1,13,0,30,0,0,1,0,,,0,0,0,,,,,190,23,14,0.073684211,176,0.926315789,15
A54,G,Dis,G Dis 1,2017,July,12,12-Jul-17,12-Jul-17,17,261,1,0,1,,0,2,111,0,54,1,0,1,0,,,1,4,0,,,,,454,31,113,0.248898678,341,0.751101322,15
A55,Mike,Dis,Mike Dis 2,2017,July,13,13-Jul-17,13-Jul-17,1,75,0,0,10,,0,0,28,0,4,0,0,1,0,,,0,0,0,,,,,119,26,28,0.235294118,91,0.764705882,15
A56,G,Dis,G Dis 2,2017,July,12,12-Jul-17,12-Jul-17,8,52,0,0,6,,0,1,19,0,8,0,1,0,0,,,0,0,1,,,,,96,27,20,0.208333333,76,0.791666667,15
A57,Griff,Dis,Griff Dis 2,2017,July,12,12-Jul-17,12-Jul-17,12,63,0,0,2,,0,0,25,0,5,1,1,0,0,,,0,0,4,,,,,114,24,25,0.219298246,88,0.771929825,15
Z58,G,Dis,G Dis 1,2017,May,17,17-May-17,17-May-17,173,2,,,,,,,1,,6,1,,,,,,,,,,,,,183,10,1,0.005464481,182,0.994535519,4
Z59,G,Dis,G Dis 2,2017,May,17,17-May-17,17-May-17,58,2,,,,,,,1,1,4,,,,,,,,,,,,,,66,12,1,0.015151515,65,0.984848485,4
Z60,G,Dis,G Dis 3,2017,May,17,17-May-17,17-May-17,7,1,,,3,,,,3,,6,,,,,,,,,5,,,,,88,17,3,0.034090909,22,0.25,5
Z61,G,Dis,G Dis 4,2017,May,17,17-May-17,17-May-17,21,1,,,,,,,1,,19,,,,,,,1,,,,,,,43,10,1,0.023255814,42,0.976744186,4
Z62,G,NonDis,G NonDis 1,2017,May,17,17-May-17,17-May-17,59,8,,1,2,,,3,4,,21,1,,,,,,,,,,,,,99,17,7,0.070707071,92,0.929292929,6
Z63,G,NonDis,G NonDis 2,2017,May,17,17-May-17,17-May-17,183,4,,1,2,,,,7,,7,,,1,,,,1,,1,,,,,207,20,7,0.033816425,200,0.966183575,8
Z64,G,NonDis,G NonDis 3,2017,May,17,17-May-17,17-May-17,86,3,1,1,5,1,1,,1,,17,,,,,,,,,,,,,,116,19,1,0.00862069,115,0.99137931,8
Z65,G,NonDis,G NonDis 4,2017,May,17,17-May-17,17-May-17,,0,,,,,,,0,,,,,,,,,,,1,,,,,147,18,0,0,1,0.006802721,2
Z66,Griff,Dis,Griff Dis 1,2017,May,17,17-May-17,17-May-17,2,9,,,5,,,,13,,1,,,,,,,,,4,,,,,52,12,13,0.25,21,0.403846154,5
Z67,Griff,Dis,Griff Dis 2,2017,May,17,17-May-17,17-May-17,29,15,,,2,,,,4,,4,,,,,,,,,17,,,,,71,18,4,0.056338028,67,0.943661972,5
Z68,Griff,Dis,Griff Dis 3,2017,May,17,17-May-17,17-May-17,96,9,,2,13,,1,,5,,1,2,1,,,,,,,22,,,,,161,31,5,0.031055901,147,0.913043478,9
Z69,Griff,Dis,Griff Dis 4,2017,May,17,17-May-17,17-May-17,54,3,1,1,,,,,2,,6,,,,,,,,,3,,,,,70,11,2,0.028571429,68,0.971428571,6
Z70,Griff,NonDis,Griff NonDis 1,2017,May,17,17-May-17,17-May-17,7,1,,3,,,,,1,,17,,,,,,,,,13,,,,,42,13,1,0.023809524,41,0.976190476,5
Z71,Griff,NonDis,Griff NonDis 2,2017,May,17,17-May-17,17-May-17,33,3,,1,3,,,,9,,3,,,,,,,,,5,,,,,57,17,9,0.157894737,48,0.842105263,6
Z72,Griff,NonDis,Griff NonDis 3,2017,May,17,17-May-17,17-May-17,54,11,,1,1,,,1,8,1,13,1,,,,,,,,12,,,,,103,27,9,0.087378641,94,0.912621359,8
Z73,Griff,NonDis,Griff NonDis 4,2017,May,17,17-May-17,17-May-17,98,10,,2,3,,1,,6,,14,,,1,,,,,,4,,,,,139,31,6,0.043165468,133,0.956834532,8
Z74,Mike,Dis,Mike Dis 1,2017,May,17,17-May-17,17-May-17,13,2,,,1,,,,3,,9,1,,,,,,1,,,,,,,30,15,3,0.1,27,0.9,6
Z75,Mike,Dis,Mike Dis 2,2017,May,17,17-May-17,17-May-17,,0,,,,,,,0,,,,,,,,,,,,,,,,44,10,0,0,0,0,1
Z76,Mike,Dis,Mike Dis 3,2017,May,17,17-May-17,17-May-17,92,4,1,,1,,,,9,,11,,,,,,,,,,,,,,118,23,9,0.076271186,109,0.923728814,5
Z77,Mike,Dis,Mike Dis 4,2017,May,17,17-May-17,17-May-17,,0,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,#DIV/0!,1
Z78,Mike,NonDis,Mike NonDis 1,2017,May,17,17-May-17,17-May-17,117,1,2,2,3,,,,7,,12,,,,,,,,,1,2,,,,147,22,7,0.047619048,140,0.952380952,8
Z79,Mike,NonDis,Mike NonDis 2,2017,May,17,17-May-17,17-May-17,75,2,,,3,,,,8,,6,1,,1,,,,,,2,,,,,98,17,8,0.081632653,90,0.918367347,7
Z80,Mike,NonDis,Mike NonDis 3,2017,May,17,17-May-17,17-May-17,75,3,,3,2,,,1,5,,6,,,,,,,,,2,,,,,106,23,6,0.056603774,91,0.858490566,6
Z81,Mike,NonDis,Mike NonDis 4,2017,May,17,17-May-17,17-May-17,67,1,,1,1,,,1,5,,7,,,,,,,,1,,,,,,84,17,6,0.071428571,78,0.928571429,6
